"Original","Generated","task","model","turn"
"Our pathway-inhibition paradigm thus opens an avenue for generating mammalian pluripotent stem cells, and EPSCs present a unique cellular platform for translational research in biotechnology and regenerative medicine.","This approach creates a new opportunity for producing stem cells with the ability to develop into various cell types, offering a distinct tool for advancing medical and biotechnological applications.","paraphrase","llama-3.3-70b-instruct","1.0"
"We show that sustained proximity of the enhancer to its target is required for activation.","Activation is dependent on the enhancer remaining in close proximity to its target for an extended period.","paraphrase","llama-3.3-70b-instruct","1.0"
"We demonstrate that large cities exhibit increased occupational and skill specialization due to increased abundance of managerial and technical professions.","The growth of large cities is associated with a greater diversity of specialized jobs, particularly in management and technical fields.","paraphrase","llama-3.3-70b-instruct","1.0"
"In contrast, there was on average no change in perceived pleasure from smoking cigarettes when using marijuana (5.3 ± 2.7, t (199) ¼ 1.7, p ¼ .09).","The average perceived enjoyment of smoking cigarettes remained relatively unchanged when marijuana was also being used.","paraphrase","llama-3.3-70b-instruct","1.0"
"Thus, investigations of the neurochemistry of social bonding in humans, for which this study provides initial evidence, are warranted.","Further research into the neurological basis of human social connections is justified, as supported by the preliminary findings of this study.","paraphrase","llama-3.3-70b-instruct","1.0"
"Participants on average responded to 96% of the random prompts and reported 4 eating episodes per day.","On average, participants replied to nearly all of the random prompts and typically logged four instances of eating each day.","paraphrase","llama-3.3-70b-instruct","1.0"
"Together our data indicate that light responsive retinal organoids derived from carefully selected and differentiation efficient iPSC lines can be generated at the scale needed for pharmacology and drug screening purposes.","Our findings suggest that retinal organoids sensitive to light can be produced in sufficient quantities from appropriately chosen and highly efficient induced pluripotent stem cells for use in pharmaceutical research and drug testing.","paraphrase","llama-3.3-70b-instruct","1.0"
"CONCLUSION AND RELEVANCE Dimensional and heritable general cognitive and psychopathology factors are associated with specific patterns of white matter properties, suggesting that dysconnectivity is a transdiagnostic brain-based phenotype in individuals with increased susceptibility and symptoms of psychiatric disorders.","Research indicates that certain inherited cognitive and mental health factors, which are linked to various psychiatric conditions, are connected to distinct characteristics of the brain's white matter, implying a common neurological trait among individuals prone to these disorders.","paraphrase","llama-3.3-70b-instruct","1.0"
"We suggest that humans notice when magpies occasionally pick up shiny objects because they believe the birds find them attractive, while it goes unnoticed when magpies interact with less eye-catching items.","People tend to notice magpies collecting glittering items because they assume the birds are drawn to their sparkle, whereas interactions with duller objects often go unobserved.","paraphrase","llama-3.3-70b-instruct","1.0"
"Conclusions: These preliminary data suggest that extended pharmacologic thromboprophylaxis for liver surgery patients is safe and effective.","Preliminary findings indicate that the use of prolonged medication to prevent blood clots in patients undergoing liver surgery appears to be both safe and beneficial.","paraphrase","llama-3.3-70b-instruct","1.0"
"However, this benefit of anticoagulation was lost after anticoagulation was discontinued.","The protective effect of anticoagulation was no longer present once the treatment was stopped.","paraphrase","llama-3.3-70b-instruct","1.0"
"Importantly, we found necrotizing myelitis and degeneration in the spinal cord, neurodegeneration in the DRG, and demyelination in the nerve roots only when lymphocytic inflammatory lesions were also observed in both the CNS and PNS.","The presence of lymphocytic inflammatory lesions in both the central and peripheral nervous systems was a prerequisite for the occurrence of specific types of tissue damage, including spinal cord degeneration and nerve root demyelination.","paraphrase","llama-3.3-70b-instruct","1.0"
"[1] [3] [4] [5] [6] In this high-risk population, extending anticoagulation beyond 3 to 6 months is associated with a reduction in the risk of recurrence as long as treatment is continued.","Continuing anticoagulant therapy for more than three to six months in individuals at high risk significantly decreases the likelihood of recurrent events for as long as the treatment is maintained.","paraphrase","llama-3.3-70b-instruct","1.0"
"This study demonstrated that a viable stem cell population can be isolated and expanded from equine cadaver ligaments up to 72 hours post-mortem.","Researchers successfully extracted and grew a healthy population of stem cells from horse ligaments that had been deceased for as long as three days.","paraphrase","llama-3.3-70b-instruct","1.0"
"Findings from Study 3 supported the benevolence as a mate-preference hypothesis by ruling out the protection racket hypothesis as an alternative explanation for our findings.","The results of Study 3 lent credibility to the idea that benevolence is a desirable trait in a partner by disproving an alternative theory that attributed the findings to a need for protection.","paraphrase","llama-3.3-70b-instruct","1.0"
"Both groups held weak beliefs about their need for tamoxifen for current and future health.","The two groups shared similar, relatively uncertain views regarding the necessity of tamoxifen for maintaining their current and long-term health.","paraphrase","llama-3.3-70b-instruct","1.0"
"This immediate carbon loss is partially compensated by an enhancement in net ecosystem productivity driven by changes in canopy composition and soil respiration 2 .","The initial loss of carbon is somewhat offset by a boost in the ecosystem's overall productivity, which is fueled by alterations in the makeup of the canopy and the rate at which the soil releases carbon dioxide.","paraphrase","llama-3.3-70b-instruct","1.0"
"CONCLUSIONS Twelve months of TE+IMP were more effective than placebo in preventing the development of clinically significant depressive symptoms among initially euthymic perimenopausal and early postmenopausal women.","A twelve-month regimen of transdermal estrogen plus intermittent micronized progesterone proved superior to a placebo in warding off significant depressive symptoms in women transitioning into menopause who were initially asymptomatic.","paraphrase","llama-3.3-70b-instruct","1.0"
"Using general linear models, we found that measurements of genetic diversity across fifteen counties are best explained by days of snow on the ground.","Genetic diversity levels in the fifteen counties studied can be most accurately predicted by the duration of snow cover.","paraphrase","llama-3.3-70b-instruct","1.0"
"We have demonstrated the feasibility of adaptive DBS in PD using a fully implantable device, with feedback control provided by a cortical gamma band oscillation related to the emergence of dyskinesia, a common adverse effect of levodopa therapy and of STN DBS.","Our research has shown that a fully implantable device can effectively deliver adaptive deep brain stimulation for Parkinson's disease, utilizing real-time feedback from brain activity associated with the onset of involuntary movements.","paraphrase","llama-3.3-70b-instruct","1.0"
"In 1 case, blood was sampled after completion of treatment for colorectal cancer and the abnormal pattern was no longer evident.","After finishing colorectal cancer treatment, a follow-up blood sample showed that the unusual pattern had disappeared.","paraphrase","llama-3.3-70b-instruct","1.0"
"The current study is the first to demonstrate that HS students are using e-cigarettes to vaporize cannabis.","This research marks a groundbreaking finding as it reveals that high school students are utilizing electronic cigarettes as a means to inhale cannabis vapor.","paraphrase","llama-3.3-70b-instruct","1.0"
"The tumor closely resembles cancer patient tumor and contains extracellular matrix as well as stromal cells and extensive vasculature.","This tumor bears a strong resemblance to those found in cancer patients, featuring a complex structure that includes a matrix of connective tissue, supportive cells, and a network of blood vessels.","paraphrase","llama-3.3-70b-instruct","1.0"
"Significant declines in the frequency of vaginal and oral sexual behaviors were reported at follow-up, regardless of tumor HPV status.","There was a notable decrease in the occurrence of certain sexual activities, including vaginal and oral sex, observed during follow-up, and this decrease was not dependent on whether the tumor was related to the human papillomavirus.","paraphrase","llama-3.3-70b-instruct","1.0"
"In both cases, the results confirmed that when laughter is elicited, pain thresholds are significantly increased, whereas when subjects watched something that does not naturally elicit laughter, pain thresholds do not change (and are often lower).","Laughter has been shown to substantially raise an individual's tolerance for pain, whereas watching non-amusing content typically has no effect or even decreases pain tolerance.","paraphrase","llama-3.3-70b-instruct","1.0"
"Consistent with predictions, resting-state connectivity within the central executive network (CEN) emerged as a moderator of adaptation.","As expected, the connections between areas of the brain responsible for high-level thinking when at rest were found to influence an individual's ability to adapt.","paraphrase","llama-3.3-70b-instruct","1.0"
"Overall, three in four participants perceived the advertisements to breach at least one alcohol-specific rule in the BCAP Code.","Most participants believed that the ads violated certain guidelines related to alcohol advertising as outlined in the BCAP Code.","paraphrase","llama-3.3-70b-instruct","1.0"
"Multivariable logistic regression analysis indicated that the presence of acute brain lesions was independently associated with development of delayed neurological sequelae (adjusted odds ratio, 13.93; 95% CI, 7.16-27.11; P < .001).","The occurrence of acute brain lesions was found to have a strong independent link to the emergence of delayed neurological complications, as evidenced by a significantly increased likelihood of development.","paraphrase","llama-3.3-70b-instruct","1.0"
"The effect of rising Max BMI is large relative to international mortality trends and to alternative mortality futures simulated by the Social Security Administration.","Compared to global mortality patterns and other potential mortality scenarios projected by the Social Security Administration, the impact of increasing maximum body mass index is substantial.","paraphrase","llama-3.3-70b-instruct","1.0"
"Interestingly, and in striking contrast to expectations, the rapid global range expansion of true frogs was not associated with increased net diversification.","The surprisingly swift spread of true frogs across the globe did not, as one might anticipate, lead to a significant rise in the overall variety of species.","paraphrase","llama-3.3-70b-instruct","1.0"
"Finally, among eight open-water and shoreline foraging species that have undergone significant populations declines, five were negatively associated with temperature increases ( Fig.","A substantial decline in population has been observed in several aquatic foraging species, with nearly two-thirds of those affected showing a correlation with rising water temperatures.","paraphrase","llama-3.3-70b-instruct","1.0"
"We found that application rates, successful enrollment, and positive experiences with the ACA were highest in Kentucky, followed by Arkansas, with Texas performing worst on most outcomes.","Kentucky led the nation in terms of ACA enrollment and satisfaction, closely followed by Arkansas, while Texas struggled with the lowest performance in several key areas.","paraphrase","llama-3.3-70b-instruct","1.0"
"Across three studies, well-educated graduates who entered the workforce during economic downturns were more satisfied with their current jobs than those who entered during more prosperous economic times.","Graduates with strong educational backgrounds tend to express greater job satisfaction when they start their careers amidst economic challenges rather than periods of economic growth.","paraphrase","llama-3.3-70b-instruct","1.0"
"We argue that the more beautiful music is, the easier it is for the listener to concentrate on the music.","The aesthetic appeal of music has a direct impact on a listener's ability to focus their attention on it.","paraphrase","llama-3.3-70b-instruct","1.0"
"Individual LABA agents, LAMA dosage forms, and concomitant COPD regimens did not differ in the CVD risks.","The risks of cardiovascular disease were found to be similar across different types of long-acting bronchodilators and combination therapies for chronic obstructive pulmonary disease.","paraphrase","llama-3.3-70b-instruct","1.0"
"This discovery supports colonial nesting behavior and potential nesting site fidelity in the Pterosauria.","The finding provides evidence that Pterosauria may have exhibited nesting behaviors similar to those of colonial animals and possibly returned to the same locations to nest repeatedly.","paraphrase","llama-3.3-70b-instruct","1.0"
"After adjusting for demographic information, women with a history of military service in both eras had similar patterns of elevated odds for physical abuse, household alcohol abuse, exposure to domestic violence, and emo-","Women who had served in the military exhibited comparable increased risks of experiencing physical abuse, domestic violence, and other forms of household dysfunction, regardless of the time period in which they served.","paraphrase","llama-3.3-70b-instruct","1.0"
"This suggests that all such diverse phenomena, such as the convoluted shape of the outer ear, the universal use of spatial terms for describing pitch, or the reason why high notes are represented higher in musical notation, ultimately reflect adaptation to the statistics of natural auditory scenes.","The varied characteristics of human auditory perception, including ear shape and musical notation conventions, can be attributed to the brain's adaptation to the typical patterns and structures found in natural sound environments.","paraphrase","llama-3.3-70b-instruct","1.0"
"This study builds on recent research focusing on fathers and their role in adolescent eating disorders treatment 32, [41] [42] [43] and finds that adolescents whose fathers engaged in weight conversations were significantly more likely to engage in dieting and UWCBs than adolescents whose fathers did not.","Research has expanded to examine the influence of fathers on teenagers' eating habits, revealing a significant correlation between paternal discussions about weight and the likelihood of adolescents adopting unhealthy eating behaviors.","paraphrase","llama-3.3-70b-instruct","1.0"
"In a cohort of 85 subjects (all males, ages 15-55 years), we show very high correlation between age and ""heterogeneity"" (a measure of structural layout of tissue in a region-of-interest) in specific brain regions.","A strong link between age and tissue structure complexity was observed in certain areas of the brain among a group of 85 male participants spanning a wide age range.","paraphrase","llama-3.3-70b-instruct","1.0"
"We are aware of the many ethical and sociopolitical considerations related to psychosurgery, but we think that such surgery is appropriate under thoughtful regulation, particularly when the disorder is chronic, intractable to non-invasive treatment modalities and when surgery is the last therapeutic option.","The use of psychosurgery can be justified when strictly regulated and reserved for severe, treatment-resistant cases where all other options have been exhausted.","paraphrase","llama-3.3-70b-instruct","1.0"
"The presence of a trainee in a clinic session was associated with longer mean appointment times, even in appointments in which the trainee was not present.","Clinic sessions that included a trainee, even if they weren't directly involved in every appointment, tended to have longer average durations.","paraphrase","llama-3.3-70b-instruct","1.0"
"RNA sequencing expression profiling revealed that expression of 456 identified genes was significantly changed in the tumor due to walnut consumption.","Consuming walnuts was found to substantially alter the expression of nearly 500 genes in tumor tissue, according to RNA sequencing analysis.","paraphrase","llama-3.3-70b-instruct","1.0"
"Conclusions: Over a period of 3 years, prophylaxis versus OD in adults with severe hemophilia A and arthropathy led to decreased bleeding, pain, and HRU, better joint health, activity, satisfaction, and HRQoL, but no reduction in structural arthropathy progression, suggesting that preexisting joint arthropathy may be irreversible.","A three-year comparison of preventative treatment and on-demand treatment for adults with severe hemophilia A and joint damage revealed significant improvements in various health outcomes, although the underlying joint deterioration remained unaffected.","paraphrase","llama-3.3-70b-instruct","1.0"
"This has clear policy implications for policing these settings and highlights the importance of joint operations and information sharing between transit agencies and local police forces operating near major transit systems.","Effective collaboration and data exchange between law enforcement and transportation authorities is crucial for maintaining safety in areas surrounding large public transit hubs.","paraphrase","llama-3.3-70b-instruct","1.0"
"We used this information to focus restaurant inspections in two cities and demonstrated that FINDER improves the accuracy of health inspections; restaurants identified by FINDER are 3.1 times as likely to be deemed unsafe during the inspection as restaurants identified by existing methods.","By applying this data, targeted restaurant inspections were conducted in two cities, resulting in significantly more accurate health assessments, with establishments flagged by the new system being over three times more likely to fail inspections compared to those identified through traditional means.","paraphrase","llama-3.3-70b-instruct","1.0"
"We find that the most important approach to earliest possible detection of a significant sea level acceleration lies in improved understanding (and subsequent removal) of interannual to multidecadal variability in sea level records.","Enhancing our comprehension and elimination of fluctuations in sea level data over various time scales is crucial for identifying a substantial acceleration in sea levels at the earliest possible stage.","paraphrase","llama-3.3-70b-instruct","1.0"
"Therefore sleep durations outside the normal range increased the genetic risk for depressive symptoms.","Abnormal sleep patterns can exacerbate the genetic predisposition to experiencing symptoms of depression.","paraphrase","llama-3.3-70b-instruct","1.0"
"Multivariable population-attributable risk proportions were 14.2% for deployment within the first 12 months of service and 4.0% for DT of 6 months or less.","The proportion of risk attributed to deployment within a year of starting service and having a deployment tenure of six months or less was found to be significantly higher, at 14.2% and 4.0% respectively.","paraphrase","llama-3.3-70b-instruct","1.0"
"Reduced susceptibility in childhood supports the theory that sensory dominance shifts across development and reaches adult-like levels by 10 years of age.","The idea that sensory processing changes throughout childhood and matures by around age 10 is reinforced by the fact that children are less sensitive to certain stimuli.","paraphrase","llama-3.3-70b-instruct","1.0"
"Although absolute risks for neuropathy are low, CD is a potentially treatable condition with a young age of onset.","Celiac disease has a relatively low risk of causing nerve damage, but it is a condition that can be treated and often begins at a young age.","paraphrase","llama-3.3-70b-instruct","1.0"
"As racial inequities in educational opportunities decreased, near-work exposure may have increased relatively more in black participants than in white participants.","The reduction in racial disparities in access to education may have inadvertently led to a greater proportional increase in near-work activities among black individuals compared to their white counterparts.","paraphrase","llama-3.3-70b-instruct","1.0"
"The impact of specialty level culture, and peer influence appears to be significant factors of antibiotic decision-making.","The decision to prescribe antibiotics is heavily influenced by the prevailing culture within a medical specialty and the opinions of colleagues.","paraphrase","llama-3.3-70b-instruct","1.0"
"Hence, the identification of the relevant molecular mediators of this form of plasticity may offer novel therapeutic strategies to recover from deficits in perception, learning, and memory associated with a repertoire of diseases.","Discovering the key molecules that drive this type of neural adaptability could lead to innovative treatments for a range of diseases that impair cognitive functions such as perception, learning, and memory.","paraphrase","llama-3.3-70b-instruct","1.0"
"Given the chronicity and impact of the ADHD one might have expected that older adults with ADHD experience impairments in these three areas.","It would be reasonable to assume that older adults with ADHD would face significant challenges in multiple aspects of their lives due to the long-term effects of the condition.","paraphrase","llama-3.3-70b-instruct","1.0"
"Although these changes in brain function were transient, these effects may signal direct consequences of routine soccer heading on (long-term) brain health which requires further study.","The temporary alterations in brain activity resulting from regular soccer heading may have significant implications for long-term cognitive well-being that warrant additional investigation.","paraphrase","llama-3.3-70b-instruct","1.0"
"Whole-genome comparisons with less dominant, generalist fungi point at a significantly higher number of genes related to stress-tolerance and resource uptake in the dominant fungi, suggesting that they might be better in colonising a wide range of environments.","Dominant fungi possess a greater array of genes associated with resilience and nutrient acquisition, which may enable them to thrive in a broader variety of ecosystems.","paraphrase","llama-3.3-70b-instruct","1.0"
"5 Research regarding the motivations of indoor tanners could inform the development of new interventions.","Understanding what drives people to use indoor tanning could lead to the creation of more effective strategies to discourage the behavior.","paraphrase","llama-3.3-70b-instruct","1.0"
"Mindfulness research in general could benefit from employing the SOBC experimental medicine approach.","The field of mindfulness research may see significant improvements by adopting the experimental medicine approach known as SOBC.","paraphrase","llama-3.3-70b-instruct","1.0"
"Stripped of context, stand-alone statistics may simply be used as ""evidence"" of the stereotype that Blacks are prone to criminality.","Isolated crime statistics can be misused to perpetuate the racist notion that Black individuals have a natural inclination towards committing crimes.","paraphrase","llama-3.3-70b-instruct","1.0"
"CONCLUSIONS AND RELEVANCE Tic disorders, including TS and CTDs, cluster in families primarily because of genetic factors and appear to be among the most heritable neuropsychiatric conditions.","Genetic factors play a significant role in the tendency of tic disorders to run in families, making them some of the most inheritable conditions affecting the brain and nervous system.","paraphrase","llama-3.3-70b-instruct","1.0"
"The innovative use of the Nintendo Wii could present a way to enhance community based stroke rehabilitation of the arm by providing a motivating and cost-effective way of exercising that could be remotely monitored and exercises adjusted as required by a physiotherapist .","The incorporation of the Nintendo Wii into community-based stroke rehabilitation programs could offer a engaging and affordable means of arm therapy, allowing physiotherapists to remotely track progress and make necessary adjustments to exercise regimens.","paraphrase","llama-3.3-70b-instruct","1.0"
"This is despite climate change and anthropogenic transformations of local flora and fauna, including changes in agricultural practices , which might have favored the introduction of landraces from other regions that were better adapted to the changing agricultural environment.","The introduction of non-native landraces, which were more resilient to the altered environmental conditions, may have been facilitated by human activities and shifting climate patterns that impacted the local ecosystem.","paraphrase","llama-3.3-70b-instruct","1.0"
"This may be due to adults who are able to continue consuming alcohol into old age are healthier, and therefore have higher cognition and larger regional brain volumes, than people who had to decrease their alcohol consumption due to adverse health outcomes and become abstainers during old age.","The ability of some adults to continue drinking alcohol into older age may be indicative of their overall better health, which in turn is associated with sharper cognitive function and greater brain volume compared to those who are forced to stop drinking due to health issues.","paraphrase","llama-3.3-70b-instruct","1.0"
"Additional efforts to foster multipayer participation in global payment systems, such as recent state initiatives and provisions in Pioneer Medicare ACO contracts, 15,32,33 may be important.","Encouraging multiple payers to participate in global payment systems is crucial, and recent initiatives, including those at the state level and in certain Medicare contracts, may play a significant role in achieving this goal.","paraphrase","llama-3.3-70b-instruct","1.0"
"Meaning Reducing exposures of pregnant women to environmental nitric oxide may be associated with a reduction in autism spectrum disorder incidence in their children.","Lowering pregnant women's exposure to environmental nitric oxide could potentially decrease the likelihood of their children developing autism spectrum disorder.","paraphrase","llama-3.3-70b-instruct","1.0"
"However, gender patterns of consumption and the relationship between societal and family affluence and cannabis use may be changing.","The dynamics of cannabis consumption in relation to wealth and social status, as well as gender, are potentially undergoing a shift.","paraphrase","llama-3.3-70b-instruct","1.0"
"Developing and imparting more gist based knowledge, in order to engage more intuitive thinking about online risk-taking, may well help to protect young people against some of the dangers involved in certain online activities.","Enhancing young people's understanding of online risks through more in-depth knowledge can foster a more instinctual approach to navigating the internet safely.","paraphrase","llama-3.3-70b-instruct","1.0"
